problems,purpose
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}","Spokojniejsza ja i dzieci, nauczenie się reagowania na moje i dz. emovje"
"{""Impulsywno\u015b\u0107"": 2}",Test
"{""Impulsywno\u015b\u0107"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 2, ""Po\u015bpiech"": 3, ""Wybuchy z\u0142o\u015bci"": 5}",Brak krzyku
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 3, ""Poczucie winy"": 4, ""Stres"": 4}","Spokój w domu, "
"{""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Problemy ze snem"": 5, ""Po\u015bpiech"": 4, ""Stres"": 4, ""Wybuchy z\u0142o\u015bci"": 3, ""Poczucie winy"": 2}","Mniej krzyku, więcej cierpliwości i współpracy "
"{""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 4, ""Problemy ze snem"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 3}",Być wsparciem dla dziecka i dać mu poczucie bezpieczeństwa i miłości
"{""Podnoszenie g\u0142osu / krzyk"": 1, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Problemy ze snem"": 5}","Być cierpliwsza dla dziecka, nie krzyczeć i nie być złośliwa "
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 4, ""Stres"": 4, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 5, ""Frustracja"": 3}","Więcej cierpliwości, spokojne reagowanie, wyeliminowanie krzyku "
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3}",Chce być spokojną i cieprliwą mamą
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 5, ""Przebod\u017acowanie"": 4, ""Stres"": 5, ""Wybuchy z\u0142o\u015bci"": 4, ""Poczucie winy"": 5, ""Po\u015bpiech"": 2}","Chce mniej krzyczeć, mieć więcej cierpliwości do dzieci i do męża, chce być spokojniejsza "
"{""Impulsywno\u015b\u0107"": 2, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Chciałabym mniej krzyczeć i nie ulegać złym emocjom
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Mieć więcej cierpliwości być dobrą mamą nie krzyczeć na dzieci więcej im czasu poświęcać bardziej doceniać
"{""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 3, ""Poczucie winy"": 3}","Chcę być bardziej cierpliwa, chce bardziej kontrolować swoje emocje, nie krzyczeć i nie mieć poczucia winy."
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Po\u015bpiech"": 3, ""Stres"": 3, ""Wybuchy z\u0142o\u015bci"": 5, ""Przebod\u017acowanie"": 5, ""Problemy ze snem"": 2, ""Poczucie winy"": 1}",Chce być bardziej cierpliwa i opanowana. Chce się nauczyc rozmawiac z dzieckiem aby mnie sluchalo i ze mna współpracowało zwlaszcza gdy mamy wyjsc z domu.
"{""Impulsywno\u015b\u0107"": 1, ""Brak cierpliwo\u015bci"": 1, ""Frustracja"": 1, ""Podnoszenie g\u0142osu / krzyk"": 1, ""Problemy ze snem"": 1, ""Przebod\u017acowanie"": 1, ""Po\u015bpiech"": 1, ""Stres"": 1, ""Poczucie winy"": 1, ""Wybuchy z\u0142o\u015bci"": 1}",Cel
"{""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",Nie krzyczeć na dzieci
"{""Impulsywno\u015b\u0107"": 3, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Stres"": 4, ""Wybuchy z\u0142o\u015bci"": 5}",Nie wybucham złością z byle powodu i nie krzyczeć na dzieci
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Cierpliwość, radość "
"{""Impulsywno\u015b\u0107"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Brak cierpliwo\u015bci"": 4, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Frustracja"": 4}",Chcialabym przestac krzyczec na Bartka i umiec kontrolowac swoja zlosc
"{""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Stres"": 3, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Po\u015bpiech"": 3, ""Impulsywno\u015b\u0107"": 2}","Chcialabym byc radosniejsza, wspierajaca i spokojniejsza"
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Problemy ze snem"": 4, ""Po\u015bpiech"": 3, ""Przebod\u017acowanie"": 2, ""Stres"": 3, ""Poczucie winy"": 2, ""Wybuchy z\u0142o\u015bci"": 3}","Zadbać bardziej o siebie, byc cierpliwa mama"
"{""Impulsywno\u015b\u0107"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 4, ""Wybuchy z\u0142o\u015bci"": 5}",Więcej uwagi i cierpliwości
"{""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Frustracja"": 4, ""Przebod\u017acowanie"": 4, ""Impulsywno\u015b\u0107"": 3, ""Po\u015bpiech"": 3, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 4}","Mniej krzyczeć, mieć więcej cierpliwości."
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 5, ""Po\u015bpiech"": 3, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 3, ""Przebod\u017acowanie"": 1}",Wspieranie dziecka w zdrowym i szczęśliwym rozwoju.
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",Spokoj
"{""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Problemy ze snem"": 5, ""Po\u015bpiech"": 4, ""Stres"": 4, ""Wybuchy z\u0142o\u015bci"": 3, ""Poczucie winy"": 2}","Mniej krzyku, więcej cierpliwości i współpracy "
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Stres"": 5, ""Wybuchy z\u0142o\u015bci"": 3, ""Poczucie winy"": 4, ""Problemy ze snem"": 5, ""Przebod\u017acowanie"": 3}",Chcę być bardziej cierpliwości i nie wybuchać na syna
"{""Impulsywno\u015b\u0107"": 4, ""Frustracja"": 4, ""Brak cierpliwo\u015bci"": 5, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 5}","Mój cel to umiejętność radzenia sobie ze stresem, emocjami i życie w spokoju bez pośpiechu."
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 2, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}","Tak jak w tytule. Chce byc cierpliwa Mama
"
"{""Brak cierpliwo\u015bci"": 3, ""Impulsywno\u015b\u0107"": 2, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Wybuchy z\u0142o\u015bci"": 2}",Mniej złościć się na dziecko
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 2, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 3, ""Stres"": 4, ""Poczucie winy"": 4, ""Frustracja"": 2}","Chcę dolać do swojego kubka tyle, żebym mogła nalewać dzieciom bez poczucia, że wylewam ostatnie krople"
"{""Podnoszenie g\u0142osu / krzyk"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4, ""Stres"": 5, ""Po\u015bpiech"": 3, ""Przebod\u017acowanie"": 3, ""Problemy ze snem"": 3, ""Frustracja"": 4, ""Brak cierpliwo\u015bci"": 4, ""Impulsywno\u015b\u0107"": 3}","Chcę przestać krzyczeć na dzieci/ w przestrzeń przy dzieciach jak marudzą to tylko dzieci i tak się komunikują, bo dopiero uczą się emocji i jak sobie z nimi radzić - chcę być dla nich dobrym przykładem a nie stresorem. Chcę się stać taką Mamą jaką kiedyś myślałam, że będę cierpliwą i wspierającą."
"{""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 2, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Frustracja"": 3}",Chcę przestać krzyczeć i wpadać w złość i agresję
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 3, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}","Nie chce krzyczeć, chcę żeby dzieci lepiej rozumiały czego od nich oczekuję. Chce więcej cierpliwości, mniej stresu, złości i krzyku i mniej mówienia dzieciom nieprzyjemnych rzeczy."
"{""Poczucie winy"": 3, ""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Problemy ze snem"": 2, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 3, ""Stres"": 4, ""Wybuchy z\u0142o\u015bci"": 1}",spokój
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 4, ""Przebod\u017acowanie"": 4, ""Wybuchy z\u0142o\u015bci"": 4, ""Stres"": 3, ""Frustracja"": 4, ""Poczucie winy"": 4}","wyłapywanie wcześniej mojego stanu, umiejętność samoregulacji"
"{""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 5, ""Stres"": 4}",Więcej spokoju i cierpliwości
"{""Impulsywno\u015b\u0107"": 3, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 3, ""Brak cierpliwo\u015bci"": 4}","Spokojna, cierpliwa Mama"
"{""Impulsywno\u015b\u0107"": 5, ""Frustracja"": 4, ""Brak cierpliwo\u015bci"": 3, ""Przebod\u017acowanie"": 4, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5}","Nie chcę krzyczeć na swoje dzieci, reagować impulsywnie, frustrować się."
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 3, ""Stres"": 2, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 3, ""Problemy ze snem"": 1}","Chcę czuć się spokojniejsza i mieć poczucie, że jestem jeszcze lepszą mamą. "
"{""Podnoszenie g\u0142osu / krzyk"": 4, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 5, ""Przebod\u017acowanie"": 4, ""Problemy ze snem"": 4, ""Frustracja"": 4, ""Brak cierpliwo\u015bci"": 4, ""Impulsywno\u015b\u0107"": 4}","Mieć więcej cierpliwości,miej krzyczeć, komunikować się z dziećmi w sposób konkretny, a jednocześnie przyjemny budując relacje oparte na zaufaniu, spokoju i wyrozumiałości "
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Po\u015bpiech"": 5, ""Stres"": 2, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Potrafić w sposób spokojny rozmawiać z dziećmi, jednocześnie wysłuchując ich argumentów i szanując własne granice. Wrócić do równowagi."
"{""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3, ""Impulsywno\u015b\u0107"": 3}",Więcej cierpliwości mniej pośpiechu
"{""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 3, ""Poczucie winy"": 2, ""Wybuchy z\u0142o\u015bci"": 3}","Nie krzyczeć w kulminacyjnym momencie , sa  to tylko pojedyncze słowa jak ""nie"" ""stop"" ale wypowiedziane zbyt mocno"
"{""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 2, ""Impulsywno\u015b\u0107"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 2, ""Przebod\u017acowanie"": 2, ""Po\u015bpiech"": 2, ""Stres"": 2, ""Poczucie winy"": 4, ""Wybuchy z\u0142o\u015bci"": 5}",Nie reagowanie krzykiem
"{""Brak cierpliwo\u015bci"": 2, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3}",Brak krzyku
"{""Brak cierpliwo\u015bci"": 4, ""Przebod\u017acowanie"": 5, ""Stres"": 4}","Spokojnie reagować na dziecięce dramaty, umieć się odciąć od świata dzieci, wyłączyć myślenie i planowanie nawet w czasie mojego relaksu, np. na siłowni"
"{""Przebod\u017acowanie"": 4, ""Wybuchy z\u0142o\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3}",Chce łagodniej reagowac w kryzysach i nauczyc sue wracac do seiadomego spokoju
"{""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 2, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}","Współpraca w relacji z dzieckiem, nauka słuchania i cierpliwości "
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 4, ""Po\u015bpiech"": 3, ""Wybuchy z\u0142o\u015bci"": 5, ""Stres"": 3, ""Poczucie winy"": 4}","Mniej krzyku, więcej cierpliwości "
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Stres"": 4, ""Po\u015bpiech"": 4, ""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 4, ""Przebod\u017acowanie"": 2}","Chce zacząć spokojnie rozmawiać z dziećmi, słuchać  je, bawić się z nimi?"
"{""Podnoszenie g\u0142osu / krzyk"": 4, ""Wybuchy z\u0142o\u015bci"": 3, ""Poczucie winy"": 4, ""Impulsywno\u015b\u0107"": 4}","Być dyscyplinowana
Byc spokojniejsza"
"{""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3, ""Stres"": 5, ""Problemy ze snem"": 4}",Żeby ból fizyczny nie wyprowadzał mnie z równowagi
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Być mniej zestresowana, bardziej opanowana, nie odnosić głosu i nie dawać się prowokować "
"{""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Wybuchy z\u0142o\u015bci"": 2, ""Poczucie winy"": 3, ""Frustracja"": 3, ""Problemy ze snem"": 5, ""Stres"": 4, ""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 3}",Wewnętrzny spokój
"{""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 3, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 3, ""Stres"": 3, ""Frustracja"": 3}","Więcej spokoju, radości, cierpliwość "
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Brak krzyku
"{""Podnoszenie g\u0142osu / krzyk"": 4, ""Brak cierpliwo\u015bci"": 4, ""Problemy ze snem"": 5, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 3, ""Impulsywno\u015b\u0107"": 3, ""Frustracja"": 4, ""Przebod\u017acowanie"": 5}","Chcę być dobrą mamą- nie chodzi o bycie idealną, tylko o to by nie reagować zbyt impulsywnie i niedekwatnie do sytuacji. Chciałabym umieć lepiej kontrolować nerwy a najlepiej mniej się denerwować, żeby rozbieg był dłuższy,  czyli żebym była bardziej cierpliwa"
"{""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Po\u015bpiech"": 2, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",Chcę mieć dobry kontakt z dziećmi.
"{""Impulsywno\u015b\u0107"": 1, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Stres"": 3, ""Wybuchy z\u0142o\u015bci"": 5, ""Po\u015bpiech"": 5}","Zero wybuchów złości i krzyków,  kontrola nad emocjami "
"{""Przebod\u017acowanie"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Brak cierpliwo\u015bci"": 3, ""Poczucie winy"": 3, ""Po\u015bpiech"": 4}","- spokojniejsza,
- nie reagowanie od razu,
- zatrzymanie się i zastanowienie co mnie i dlaczego uruchamia "
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 3, ""Stres"": 2, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 2}","Być bardziej spokojna i zrelaksowana, cierpliwa i wspierająca dla dzieci"
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 2, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 4, ""Poczucie winy"": 2, ""Wybuchy z\u0142o\u015bci"": 2}",Spokojniejsze życie
"{""Impulsywno\u015b\u0107"": 4, ""Frustracja"": 4, ""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 4, ""Po\u015bpiech"": 4, ""Stres"": 3, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Nie wybuchać złością i gniewem na swoje dziecko
"{""Impulsywno\u015b\u0107"": 5, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Problemy ze snem"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Opanowanie
"{""Podnoszenie g\u0142osu / krzyk"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Impulsywno\u015b\u0107"": 4, ""Stres"": 5}","Spokojniej reagować, być bardziej cierpliwa, uważna i mniej krzyczec"
"{""Impulsywno\u015b\u0107"": 2, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Wybuchy z\u0142o\u015bci"": 3, ""Poczucie winy"": 4, ""Stres"": 4}",Chce mowic lagodnie i z wieksza cierpliwością rozwiazywac konflikty miedzy dziecmi
"{""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 2, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 5, ""Stres"": 4, ""Wybuchy z\u0142o\u015bci"": 3}",Mniej wybuchu
"{""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Problemy ze snem"": 3, ""Impulsywno\u015b\u0107"": 5}",Więcej spokoju i cierpliwości
"{""Podnoszenie g\u0142osu / krzyk"": 5, ""Brak cierpliwo\u015bci"": 4, ""Wybuchy z\u0142o\u015bci"": 4}","Chcę mniej krzyczę, więcej rozmawiać ze swoim dzieckiem i go słuchać. "
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Stres"": 5, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 4}","Wyciszenie 
Odpuszczenie wyluzowanie
"
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Wybuchy z\u0142o\u015bci"": 5, ""Poczucie winy"": 5}","Zwiększenie cierpliwości, spokoju. Zmniejszenie częstotliwości wybuchów złości "
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 4, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",Dawać dobry przykład moim dzieciom panowania nad sobą i zaciesnic relacje
"{""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 2, ""Stres"": 5, ""Poczucie winy"": 5, ""Brak cierpliwo\u015bci"": 3}","Reagować cierpliwie i być wsparciem dla mojego dziecka, kiedy przeżywa trudne, choć czasem niezrozumiałe dla mnie emocje."
"{""Brak cierpliwo\u015bci"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Wybuchy z\u0142o\u015bci"": 4, ""Przebod\u017acowanie"": 3, ""Frustracja"": 3, ""Po\u015bpiech"": 3, ""Poczucie winy"": 5}",Chce być cierpliwa i opanowana. Nie krzyczeć na dzieci
"{""Brak cierpliwo\u015bci"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Po\u015bpiech"": 3, ""Stres"": 3, ""Wybuchy z\u0142o\u015bci"": 2}","Zero krzyku, więcej cierpliwości "
"{""Brak cierpliwo\u015bci"": 3, ""Impulsywno\u015b\u0107"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 2, ""Stres"": 5}","Cierpliwość dla synka, chce go uczyć samokontroli uczuć a sama tego nie umiem, przekierowanie złości "
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Po\u015bpiech"": 5, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}","Mniej krzyku,mniej frustracji, więcej cierpliwości i spokoju"
"{""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Stres"": 3, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3}","Chcę mieć więcej cierpliwości dla synka, okazywać mu więcej ciepła i bliskości pomimo zmęczenia i drugiego bobasa na pokładzie  "
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Problemy ze snem"": 4, ""Po\u015bpiech"": 4, ""Przebod\u017acowanie"": 4, ""Stres"": 3, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 3}",Chcę być opanowana cierpliwa spokojna Nie krzyczeć na dzieci nie złości się panować nad soba
"{""Impulsywno\u015b\u0107"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Brak cierpliwo\u015bci"": 3, ""Stres"": 3}","Chciabym mniej krzyczec na dziecko, byc cierpliwa, miła ale tez stanowcza. "
